Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d3002047,18/06/2019,"£385,040.94",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1083095,18/06/2019,"£190,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,MORTUARY CHARGES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1083104,18/06/2019,"£105,000.00",BATE AND HOLLAND FUNERAL SERVICES LTD,UNDERTAKERS COSTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002039,18/06/2019,"£39,402.69",F S MOULT AND SON,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008024,18/06/2019,"£9,958.00",KPMG LLP,PROFESSIONAL FEES,RESOURCES
Rochdale Borough Council,s1024796,18/06/2019,"£8,375.01",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1083106,19/06/2019,"£59,000.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024800,19/06/2019,"£55,000.08",POSSABILITIES CIC TRADING,SOCIAL SERVICES OTHER,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3002052,19/06/2019,"£24,650.00",ABM LANCASHIRE LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1083108,19/06/2019,"£24,000.00",APC PATHOLOGY LTD,OTHER MEDICAL EXPENSES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1083111,19/06/2019,"£18,000.00",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST MFT,CHILDRENS POST MORTEMS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002054,19/06/2019,"£15,518.29",CANAL AND RIVER TRUST,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1083113,19/06/2019,"£10,730.00",F S MOULT AND SON,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008038,19/06/2019,"£9,700.00",MANCHESTER CITY COUNCIL,AGMA,RESOURCES
Rochdale Borough Council,d1083140,20/06/2019,"£8,280.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008042,20/06/2019,"£42,535.19",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008043,20/06/2019,"£41,711.22",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d3002058,20/06/2019,"£40,000.00",REACH PUBLISHING SERVICES LTD,ADVERTISING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph103708,20/06/2019,"£13,281.00",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,ph103709,20/06/2019,"£8,565.00",TURNING POINT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d1083135,20/06/2019,"£7,470.00",ROCHDALE HOUSING INITIATIVE,BUILDINGS-ACQUISITIONS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017892,20/06/2019,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002062,21/06/2019,"£108,398.00",JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1083143,21/06/2019,"£78,000.00",FORENSICS LTD,TOXICOLOGY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002061,21/06/2019,"£46,861.50",LK CONSULT LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1083142,21/06/2019,"£39,000.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1083141,21/06/2019,"£32,000.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001849,21/06/2019,"£21,300.00",MITSUBISHI ELECTRIC EUROPE BV,SPECIFIED MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001850,21/06/2019,"£16,435.35",DELMATIC LIGHTING MANAGEMENT,SPECIFIED MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024808,21/06/2019,"£6,937.04",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024806,21/06/2019,"£5,372.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024810,21/06/2019,"£5,126.14",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1008058,24/06/2019,"£35,258.00",BLOOM PROCUREMENT SERVICES LTD,AGENCY STAFF,RESOURCES
Rochdale Borough Council,f1008057,24/06/2019,"£24,304.00",BLOOM PROCUREMENT SERVICES LTD,AGENCY STAFF,RESOURCES
Rochdale Borough Council,r1002163,24/06/2019,"£23,250.00",NOMAD CLAN CO UK,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001521,24/06/2019,"£14,400.00",STHREE PARTNERSHIP LLP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001527,24/06/2019,"£14,400.00",GRAVITAS RECRUITMENT GROUP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d4001859,24/06/2019,"£9,534.11",PHS GROUP PLC,HYGIENE EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002078,25/06/2019,"£1,405,701.62",B AND  E BOYS LIMITED,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024824,25/06/2019,"£108,000.00",ROSS CARE,ADAPTATIONS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1008065,25/06/2019,"£43,641.36",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,d1083175,25/06/2019,"£28,000.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024825,25/06/2019,"£18,300.00",NEWLINE ADAPTATIONS LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,ph103729,25/06/2019,"£17,598.57",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,s1024822,25/06/2019,"£15,790.00",NEWLINE ADAPTATIONS LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1083177,25/06/2019,"£15,000.00",REDACTED - PERSONAL DATA,MEDICAL FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008064,25/06/2019,"£13,648.52",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,s1024823,25/06/2019,"£6,890.00",K P DODD CONSTRUCTION LIMITED,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1008063,25/06/2019,"£6,259.37",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,s1024818,25/06/2019,"£5,871.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1008068,26/06/2019,"£94,380.00",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,RESOURCES
Rochdale Borough Council,d3002081,26/06/2019,"£70,000.00",JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002086,26/06/2019,"£53,760.00",BIKE RIGHT LTD,ACTIVITIES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1008071,26/06/2019,"£44,531.52",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008074,26/06/2019,"£44,531.52",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,d4001874,26/06/2019,"£36,750.00",OTIS LTD,SPECIFIED MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008070,26/06/2019,"£13,936.35",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008073,26/06/2019,"£13,936.35",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,d1083200,26/06/2019,"£11,800.00",BROADWAY MALYAN LTD,SITE INVESTIGATION,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028317,26/06/2019,"£8,016.59",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024830,26/06/2019,"£6,856.00",PREPAID FINANCIAL SERVICES,CONTRACTED SERVICES,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1008069,26/06/2019,"£6,352.38",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008072,26/06/2019,"£6,352.38",MANCHESTER CITY COUNCIL,CONTRACTS,RESOURCES
Rochdale Borough Council,f1008077,27/06/2019,"£396,933.00",CIVICA UK LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,d3002095,27/06/2019,"£60,000.00",INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002165,27/06/2019,"£52,572.00",THE UNIVERSITY OF SALFORD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1017934,27/06/2019,"£25,000.00",HAMPTONS RESOURCING LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,ph103731,27/06/2019,"£7,497.00",ENGLISH SPORTS COUNCIL,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,e1028321,27/06/2019,"£5,964.00",TROWERS AND HAMLINS,TEACHERS - SUPERANN,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028319,27/06/2019,"£5,784.00",TROWERS AND HAMLINS,TEACHERS - SUPERANN,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3002103,28/06/2019,"£39,410.00",GROUNDWORK LANDSCAPES LIMITED,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1083221,28/06/2019,"£30,270.90",STANDARD FUEL OILS,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph103734,28/06/2019,"£17,133.13",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,e1028336,28/06/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024847,28/06/2019,"£12,375.00",HEYWOOD MIDDLETON AND ROCHDALE CIRCLE,SERVICE LEVEL AGREEMENTS,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1024845,28/06/2019,"£10,399.72",JUST CHECKING LTD,PURCHASE OF FURNITURE AND EQUIPMENT,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024839,28/06/2019,"£7,870.09",CAREWATCH CARE SERVICES LTD,HOME CARE - ADULT SERVICES,ADULT CARE LCO FUNCTIONS
