Organisation Name,Purchase Order Number,Order Date,Total Value,Supplier Name,Account Name,Service
Rochdale Borough Council,r1002441,31/01/2020,"£7,240.00",LANCASHIRE COUNTY COUNCIL,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002445,31/01/2020,"£8,450.00",MATHER AND ELLIS LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,d1085856,30/01/2020,"£17,552.50",GREENFINGERS LANDSCAPE LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003121,30/01/2020,"£7,333.00",FW SHERRATT LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4002508,30/01/2020,"£17,431.70",PERMASTEELISA UK LTD,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029620,30/01/2020,"£5,000.00",MILLENNIUM TRANSLATIONS LTD,TRANSLATION & INTERPRETATION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019448,30/01/2020,"£5,000.00",EDEN BROWN LTD,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029591,29/01/2020,"£5,000.00",APOLLO HOME HEALTHCARE,DIRECT PAYMENTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1085843,29/01/2020,"£10,000.00",NO GRAFFITI LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085846,29/01/2020,"£136,338.96",FORD MOTOR COMPANY LTD,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002117,29/01/2020,"£6,280.00",CORPORATE DIRECT EUROPE LIMITED,TRANSACTIONS-INCOME,CONTROL ACCOUNT
Rochdale Borough Council,d3003103,29/01/2020,"£7,478.40",CORONA ENERGY RETAIL 4 LIMITED,GAS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3003105,29/01/2020,"£66,295.77",LINK4LIFE CHARITY,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003108,29/01/2020,"£14,144.00",ABC INDUSTRIAL DOORS LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029590,29/01/2020,"£29,489.03",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029593,29/01/2020,"£6,941.04",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029594,29/01/2020,"£39,028.65",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029595,29/01/2020,"£16,638.39",NEW BRIDGE  SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029598,29/01/2020,"£19,415.00",FRONTLINE DATA LTD,SOFTWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029600,29/01/2020,"£28,117.80",AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029603,29/01/2020,"£48,629.03",OLDHAM COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029604,29/01/2020,"£38,058.00",SALUTEM LD BIDCO IV LTD,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029609,29/01/2020,"£15,626.00",NORTH CHADDERTON SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029610,29/01/2020,"£9,748.40",OLDHAM SIXTH FORM COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029611,29/01/2020,"£20,868.00",WITHERSLACK GROUP,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029614,29/01/2020,"£12,000.00",SMS COACHING LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,w1002040,29/01/2020,"£23,480.00",CHERISH UK LTD,CONTRACTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019414,29/01/2020,"£9,751.00",LORIMER FOSTER SERVICES,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019415,29/01/2020,"£9,751.00",LORIMER FOSTER SERVICES,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019416,29/01/2020,"£53,300.00",MEADOWS CARE LIMITED,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019417,29/01/2020,"£50,700.00",MEADOWS CARE LIMITED,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019418,29/01/2020,"£53,300.00",MEADOWS CARE LIMITED,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019419,29/01/2020,"£51,870.00",THE TOGETHER TRUST,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019420,29/01/2020,"£42,750.00",THE TOGETHER TRUST,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019421,29/01/2020,"£51,870.00",THE TOGETHER TRUST,EBD (EMOT & BEHAV DIFF) PLACEMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019422,29/01/2020,"£10,634.00",THE TOGETHER TRUST,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019423,29/01/2020,"£9,633.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019425,29/01/2020,"£10,880.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019426,29/01/2020,"£10,782.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019427,29/01/2020,"£10,518.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019428,29/01/2020,"£10,633.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019429,29/01/2020,"£9,436.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019430,29/01/2020,"£11,687.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019431,29/01/2020,"£11,687.00",ACORN HOUSE FOSTERING SERVICES LIMITED,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1019413,28/01/2020,"£37,700.00",ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1085803,28/01/2020,"£6,868.70",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085807,28/01/2020,"£44,801.00",UNIVERSAL AV SERVICES LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085808,28/01/2020,"£61,531.00",UNIVERSAL AV SERVICES LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085809,28/01/2020,"£41,201.00",UNIVERSAL AV SERVICES LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085810,28/01/2020,"£5,518.39",RUSHTONS DEVELOPMENTS LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085819,28/01/2020,"£13,500.00",THE CAMPAIGN COMPANY LTD,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085824,28/01/2020,"£10,010.47",ROCHDALE DEVELOPMENT AGENCY,LEGAL SERVICES EXTERNAL,ECONOMY DIRECTORATE
Rochdale Borough Council,d1085827,28/01/2020,"£10,000.00",DICK WHITTINGTON GUEST HOUSE,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085830,28/01/2020,"£22,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003086,28/01/2020,"£7,866.13",LINK4LIFE CHARITY,CAPITAL SALARIES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003097,28/01/2020,"£15,590.00",JACKSON JACKSON AND SONS LTD,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003099,28/01/2020,"£12,189.14",LINK4LIFE TRADING,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029578,28/01/2020,"£418,328.66",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029580,28/01/2020,"£5,335.00",DEEPLISH ACADEMY,RENTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029586,28/01/2020,"£33,600.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008691,28/01/2020,"£8,970.78",HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES
Rochdale Borough Council,s1025671,28/01/2020,"£23,250.00",PETRUS COMMUNITY,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019396,28/01/2020,"£35,000.00",BALTIMORE CONSULTING LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1085795,27/01/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085796,27/01/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085799,27/01/2020,"£5,000.00",KENYON BLOCK CONSULTANTS LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002112,27/01/2020,"£8,250.50",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003075,27/01/2020,"£10,759.79",ELECTRICITY NORTH WEST LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,d3003084,27/01/2020,"£9,000.00",G2 RECRUITMENT SOLUTIONS LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,e1029570,27/01/2020,"£12,960.00",RAISE THE YOUTH FOUNDATION CIC,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029571,27/01/2020,"£24,816.00",RAISE THE YOUTH FOUNDATION CIC,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002430,27/01/2020,"£13,950.00",DUNELM TESTING LTD,SITE INVESTIGATION,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002431,27/01/2020,"£8,797.00",REDMAN PARTNERSHIPS LLP,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025656,27/01/2020,"£6,532.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025657,27/01/2020,"£5,293.97",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025658,27/01/2020,"£12,831.58",POLLOCK LIFTS,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025659,27/01/2020,"£5,022.72",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1019391,27/01/2020,"£31,500.00",BALTIMORE CONSULTING LTD,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003073,24/01/2020,"£60,130.00",TRANSPORT FOR GREATER MANCHESTER,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,f1008682,24/01/2020,"£6,080.00",INFORM CPI LTD,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,r1002427,24/01/2020,"£39,224.76",SAFEGARD SOLUTIONS LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025639,24/01/2020,"£9,250.00",PENNINE CARE NHS,RENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025644,24/01/2020,"£5,790.74",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025650,24/01/2020,"£6,933.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025650,24/01/2020,"£6,933.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025651,24/01/2020,"£5,397.65",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1085762,23/01/2020,"£15,000.00",MEMSAFE,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085765,23/01/2020,"£13,300.00",MANTRA LEARNING LTD,TRAINING-NON QUALIFICATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003069,23/01/2020,"£18,785.00",D SHAWCROSS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1008677,23/01/2020,"£12,600.00",EUROPIA,PROJECTS,RESOURCES
Rochdale Borough Council,ph104124,23/01/2020,"£6,440.00",ACORN RECOVERY PROJECTS,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104125,23/01/2020,"£29,675.00",TURNING POINT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,r1002424,23/01/2020,"£5,440.01",J GREENWOOD (BUILDERS) LIMITED,IMPROVEMENTS-MODERNISATION,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002426,23/01/2020,"£35,520.00",FRANK WHITTLE PARTNERSHIP LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1019338,23/01/2020,"£5,000.00",RANDSTAD EDUCATION,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1019348,23/01/2020,"£10,800.00",BOOKTRUST,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1085761,22/01/2020,"£14,841.00",H BELL AND SONS ROCHDALE LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2002105,22/01/2020,"£8,250.50",PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1008672,22/01/2020,"£20,000.00",CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,s1025638,22/01/2020,"£10,000.00",SARA MEDICS LTD,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d1085744,21/01/2020,"£5,040.00",EMO OIL LIMITED,OIL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085747,21/01/2020,"£6,533.95",ROCHDALE TOWN CENTRE MANAGEMENT LTD,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d2002100,21/01/2020,"£16,201.00",STHREE PARTNERSHIP LLP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002102,21/01/2020,"£9,523.40",MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3003053,21/01/2020,"£5,122.50",JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003055,21/01/2020,"£5,000.00",ELECTRIC CENTER,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029533,21/01/2020,"£23,712.66",WATERLOO LODGE SCHOOL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002415,21/01/2020,"£8,000.00",THE HERITAGE ANGEL LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002416,21/01/2020,"£12,000.00",THE HERITAGE ANGEL LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002417,21/01/2020,"£55,143.46",ROCHDALE DEVELOPMENT AGENCY,CONTRACTED SERVICES,ECONOMY DIRECTORATE
Rochdale Borough Council,s1025631,21/01/2020,"£6,674.29",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1025633,21/01/2020,"£5,630.96",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1085739,20/01/2020,"£26,000.00",STEPPING STONE PROJECTS,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085740,20/01/2020,"£15,000.00",WHISTL UK LTD,TRANSACTIONS-EXPENDITURE,CONTROL ACCOUNT
Rochdale Borough Council,d3003041,20/01/2020,"£150,000.00",H BELL AND SONS ROCHDALE LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d3003046,20/01/2020,"£266,424.66",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003048,20/01/2020,"£37,152.00",WATERMAN INFASTRUCTURE AND ENVIRONMENT LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3003052,20/01/2020,"£7,842.00",THE ENVIRONMENT PARTNERSHIP LLP,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1029528,20/01/2020,"£9,650.10",AXIOM EDUCATION ROCHDALE LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008650,20/01/2020,"£11,382.58",HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,f1008652,20/01/2020,"£32,982.23",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,f1008654,20/01/2020,"£33,821.22",CHILDCARE VOUCHERS LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,ph104117,20/01/2020,"£38,025.20",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,BASIC SALARIES,PUBLIC HEALTH
Rochdale Borough Council,r1002413,20/01/2020,"£8,248.80",BALFOUR BEATTY LIVING PLACES,SITE INVESTIGATION,ECONOMY DIRECTORATE
Rochdale Borough Council,w1002038,19/01/2020,"£488,440.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,INDEPENDENT UNITS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1085714,17/01/2020,"£13,596.00",RCD LEAFLET DISTRIBUTION,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2002094,17/01/2020,"£18,000.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029514,17/01/2020,"£25,897.07",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029515,17/01/2020,"£10,830.00",KEYS  GROUP PCE HOLDINGS LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029516,17/01/2020,"£26,038.24",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029519,17/01/2020,"£722,135.37",AXIOM EDUCATION ROCHDALE LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008648,17/01/2020,"£6,750.00",FIRST ACTUARIAL LLP,CONSULTANT FEES,RESOURCES
Rochdale Borough Council,x1019308,17/01/2020,"£5,530.00",BMS EVENT MEDICS LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085707,16/01/2020,"£67,827.00",CICELEY COMMERCIALS LIMITED,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029485,16/01/2020,"£11,702.04",WATERLOO LODGE SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029488,16/01/2020,"£9,332.50",PURE INNOVATIONS LIMITED,CONVEYANCE OF CHILDREN,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029489,16/01/2020,"£8,250.00",SADDLEWORTH ENVIRONMENTAL EDUCATION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029490,16/01/2020,"£71,102.04",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029491,16/01/2020,"£71,230.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029492,16/01/2020,"£58,718.83",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029500,16/01/2020,"£8,784.00",WARGRAVE HOUSE SCHOOL AND COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029506,16/01/2020,"£88,901.81",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029508,16/01/2020,"£26,566.67",RUSKIN MILL TRUST,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029509,16/01/2020,"£43,716.00",ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029510,16/01/2020,"£22,000.00",TIMEOUT CHILDRENS HOMES LTD,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029511,16/01/2020,"£12,000.00",SMS COACHING LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1008636,16/01/2020,"£6,155.82",CIVICA UK LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,f1008639,16/01/2020,"£14,500.00",LINK TREASURY SERVICES LIMITED,ADVICE/SUPPORT,RESOURCES
Rochdale Borough Council,r1002409,16/01/2020,"£25,193.38",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,x1019301,16/01/2020,"£36,000.00",HAMPTONS RESOURCING LTD,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3003021,15/01/2020,"£48,593.18",WINTON FLOORING LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002407,15/01/2020,"£16,465.00",THE UNIVERSITY OF SALFORD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002407,15/01/2020,"£16,465.00",THE UNIVERSITY OF SALFORD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,x1019276,15/01/2020,"£8,994.91",GL EDUCATION GROUP LTD,COSTS MET BY SCHOOL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1085660,14/01/2020,"£106,620.00",FORMIDABLE CAPITAL ASSETS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085661,14/01/2020,"£79,965.00",FORMIDABLE CAPITAL ASSETS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085662,14/01/2020,"£53,310.00",FORMIDABLE CAPITAL ASSETS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085666,14/01/2020,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085667,14/01/2020,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1085668,14/01/2020,"£5,500.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3002997,14/01/2020,"£7,646.39",FW SHERRATT LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d4002440,14/01/2020,"£18,873.00",H BELL AND SONS ROCHDALE LTD,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1029470,14/01/2020,"£13,911.81",BIRTENSHAW HALL SCHOOL,TRAVELLING GENERAL EXPENSES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029471,14/01/2020,"£11,580.18",THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1029472,14/01/2020,"£46,262.97",BIRTENSHAW HALL SCHOOL,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph104099,14/01/2020,"£88,944.00",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph104100,14/01/2020,"£416,723.00",SALFORD ROYAL NHS FOUNDATION TRUST,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph104101,14/01/2020,"£17,133.13",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph104103,14/01/2020,"£131,586.77",VIRGIN CARE SERVICES LIMITED,PH OTHER CONTRACTS,PUBLIC HEALTH
